2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 paid|Amanda|1500.00
2025-10-10|11:59:18|earned money|Work|-500.00
2025-10-14|11:59:35|spent on food|M&S|-15.00
2025-09-14|15:18:18|poop|amazon|33.99
2024-08-12|09:14:37|laptop stand|Amazon|-42.50
2023-11-05|14:55:21|freelance payment|Client B|320.00
2025-01-22|18:03:10|groceries|Kroger|-65.75
2024-03-30|11:22:48|gym membership|Equinox|-355.00
2023-07-19|16:40:05|book sale|Barnes & Noble|18.99
2025-09-07|08:15:33|coffee|Starbucks|-5.20
2025-10-16|12:15:50|Coffee beans|Starbucks Coffee|-25.00
2024-12-01|20:05:12|birthday gift|Friend|75.00
2023-02-17|13:30:27|restaurant|Olive Garden|-42.60
2025-09-25|10:50:44|tax refund|IRS|450.00
2024-04-10|15:45:55|movie ticket|Regal Cinemas|-12.50
2025-10-01|09:34:34|hair cut|Cave|40.00
2025-10-15|16:03:34|Paycheck from workplace|Bank Of America|1800.00
2025-10-15|16:07:08|Chocolate Whey protein|Optimum Nutrition|-59.99
2025-10-15|17:15:22|Headphones|Amazon|-120.00
2025-10-15|18:20:10|Gift card|Amazon Store|50.00
2025-10-16|09:10:45|Software subscription|Amanda Tech|200.00
2025-10-16|11:30:12|Office supplies|Aman Co.|35.00
2025-10-16|14:05:22|Groceries|Kroger Market|-85.50
2025-10-16|15:45:33|Protein powder|Optimum Nutrition|-75.00
2025-10-16|16:10:12|Gym bag|Equinox Shop|-120.00
2025-10-16|17:25:44|Bank deposit|Bank of America|500.00
2025-10-16|18:40:33|Movie ticket|Regal|-15.00
2025-10-17|09:15:22|Book|Barnes & Noble|-25.00
2025-10-17|10:40:55|Protein bar|Optimum|-10.00
2025-10-16|12:25:24|Sony Headphones|Sony|-499.99
2025-10-16|13:13:23|awd|awd|321.00
2025-10-16|13:13:43|awd|awd|23.00
